,,,,,,,,,,,,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,DIFF 5th/4th,DIFF 4th/3rd,ODB2017,ODB2016,ODB2015,DIFF 5th/4th,DIFF 4th/3rd,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,Change (aggregate - with direction) 3rd - Context,Change scaled (-100 |100),ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2016,Change (aggregate - with direction) 3rd - Impact,Change scaled (-100 | 100),Change (aggregate - with direction) 4th Total,Overall Change 4th Edt.,Largest Change 3rd
Colombia,Latin America & Caribbean,Colombia,Colombia,Colombia,Colombia,Colombia,Yes,Yes,Yes,Yes,Yes,9,8,6,6,7,1,2,0,-1,9,8,8,1,0,8,7,7,1,0,8,8,8,7,6,0,0,1,1,7,7,6,7,7,0,1,-1,0,7,7,3,2,1,0,4,1,1,6,4,2,1,0,2,2,1,1,5,4,3,2,1,1,1,1,1,6,5,5,4,3,1,0,1,1,7,7.78,4,4,2,1,0,0,2,1,1,5,4,2,2,0,1,2,0,2,2,1,1,1,0,1,0,0,1,2,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,-1,1,3,2,2,2,1,1,0,0,1,0,4,6.67,11,9,1
DR Congo,Sub-Saharan Africa,,DR Congo,,,,No,Yes,No,No,No,,1,,,,,,,,,0,,,,,0,,,,,1,,,,,,,,,2,,,,,,,,,0,,,,,,,,,1,,,,,,,,,0,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,
Costa Rica,Latin America & Caribbean,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Yes,Yes,Yes,Yes,Yes,4,3,3,6,7,1,0,-3,-1,4,1,0,3,1,2,2,0,0,2,7,7,8,6,8,0,-1,2,-2,3,3,4,4,3,0,-1,0,1,4,4,5,4,1,0,-1,1,3,5,3,3,1,1,2,0,2,0,3,3,3,3,4,0,0,0,-1,3,2,3,4,3,1,-1,-1,1,7,7.78,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,-1,2,0,0,0.00,7,5,3
Croatia,,,Croatia,,,,No,Yes,No,No,No,,5,,,,,,,,,4,,,,,3,,,,,8,,,,,,,,,7,,,,,,,,,3,,,,,,,,,2,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,2,,,,,,,,1,,,,,
Czech Republic,Europe & Central Asia,,Czech Republic,Czech Republic,Czech Republic,Czech Republic,No,Yes,Yes,Yes,Yes,,6,5,5,5,,1,0,0,,5,5,,0,,6,5,,1,,7,7,7,7,,0,0,0,,6,6,7,7,,0,-1,0,,6,7,8,8,,-1,-1,0,,2,2,3,5,,0,-1,-2,,6,5,4,2,,1,1,2,,5,5,5,5,,0,0,0,2,2.22,,2,3,4,0,,-1,-1,4,,3,3,2,5,,0,1,-3,,2,3,3,0,,-1,0,3,,0,0,0,0,,0,0,0,,1,4,2,3,,-3,2,-1,,3,5,4,2,,-2,1,2,2,-7,-11.67,-5,11,3
Denmark,Europe & Central Asia,,Denmark,Denmark,Denmark,Denmark,No,Yes,Yes,Yes,Yes,,6,5,8,8,,1,-3,0,,6,6,,0,,4,3,,1,,8,8,8,9,,0,0,-1,,5,6,7,8,,-1,-1,-1,,5,6,8,6,,-1,-2,2,,7,7,8,4,,0,-1,4,,7,7,7,4,,0,0,3,,6,7,9,7,,-1,-2,2,-1,-1.11,,5,6,6,5,,-1,0,1,,2,2,4,4,,0,-2,0,,3,4,3,0,,-1,1,3,,1,2,3,2,,-1,-1,1,,4,5,6,3,,-1,-1,3,,7,7,7,5,,0,0,2,0,-4,-6.67,-5,9,1
Dominican Republic,,,Dominican Republic,,,,No,Yes,No,No,No,,6,,,,,,,,,1,,,,,6,,,,,4,,,,,,,,,3,,,,,,,,,4,,,,,,,,,3,,,,,,,,,0,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,0,,,,,,,,,0,,,,,,,,,2,,,,,,,,,2,,,,,,,,1,,,,,
Ecuador,Latin America & Caribbean,,Ecuador,Ecuador,Ecuador,Ecuador,No,Yes,Yes,Yes,Yes,,5,3,2,2,,2,1,0,,4,5,,-1,,2,2,,0,,2,3,6,7,,-1,-3,-1,,5,7,6,6,,-2,1,0,,2,2,3,5,,0,-1,-2,,2,2,1,3,,0,1,-2,,1,2,2,0,,-1,0,2,,2,2,2,3,,0,0,-1,-3,-3.33,,0,1,0,0,,-1,1,0,,0,0,1,0,,0,-1,1,,0,0,1,1,,0,-1,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,2,0,0,,-2,2,0,0,-3,-5.00,-6,10,2
Egypt,Middle East & North Africa,,Egypt,Egypt,Egypt,Egypt,No,Yes,Yes,Yes,Yes,,1,1,3,,,0,-2,3,,0,0,,0,,0,0,,0,,1,1,2,,,0,-1,2,,1,1,2,,,0,-1,2,,5,4,4,,,1,0,4,,2,2,0,,,0,2,0,,0,0,0,,,0,0,0,,4,3,3,,,1,0,3,2,2.22,,0,0,0,,,0,0,0,,0,0,0,,,0,0,0,,1,0,0,,,1,0,0,,0,0,0,,,0,0,0,,0,0,0,,,0,0,0,,1,1,0,,,0,1,0,1,1,1.67,3,3,1
El Salvador,,,El Salvador,,,,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,
